"","periodo","provincia","departamento","titulares","titulares_por2","mes","anio","mes_n"
"1",2020-03-01,"Misiones","Cainguás",1,2,"marzo",2020,3
"2",2020-03-01,"Misiones","Capital",1,2,"marzo",2020,3
"3",2020-03-01,"Misiones","Leandro N. Alem",1,2,"marzo",2020,3
"4",2020-03-01,"Misiones","San Javier",1,2,"marzo",2020,3
"5",2020-04-01,"Misiones","Cainguás",1,2,"abril",2020,4
"6",2020-04-01,"Misiones","Capital",1,2,"abril",2020,4
"7",2020-04-01,"Misiones","Leandro N. Alem",1,2,"abril",2020,4
"8",2020-04-01,"Misiones","San Javier",1,2,"abril",2020,4
"9",2020-05-01,"Misiones","Cainguás",1,2,"mayo",2020,5
"10",2020-05-01,"Misiones","Capital",1,2,"mayo",2020,5
"11",2020-05-01,"Misiones","Leandro N. Alem",1,2,"mayo",2020,5
"12",2020-05-01,"Misiones","San Javier",1,2,"mayo",2020,5
"13",2020-06-01,"Misiones","Cainguás",1,2,"junio",2020,6
"14",2020-06-01,"Misiones","Capital",1,2,"junio",2020,6
"15",2020-06-01,"Misiones","Leandro N. Alem",1,2,"junio",2020,6
"16",2020-06-01,"Misiones","San Javier",1,2,"junio",2020,6
"17",2020-07-01,"Misiones","Cainguás",1,2,"julio",2020,7
"18",2020-07-01,"Misiones","Capital",1,2,"julio",2020,7
"19",2020-07-01,"Misiones","Leandro N. Alem",1,2,"julio",2020,7
"20",2020-07-01,"Misiones","San Ignacio",1,2,"julio",2020,7
"21",2020-07-01,"Misiones","San Javier",1,2,"julio",2020,7
"22",2020-08-01,"Misiones","Cainguás",1,2,"agosto",2020,8
"23",2020-08-01,"Misiones","Capital",1,2,"agosto",2020,8
"24",2020-08-01,"Misiones","Leandro N. Alem",1,2,"agosto",2020,8
"25",2020-08-01,"Misiones","Leandro N. Alem",1,2,"agosto",2020,8
"26",2020-08-01,"Misiones","San Ignacio",1,2,"agosto",2020,8
"27",2020-08-01,"Misiones","San Javier",1,2,"agosto",2020,8
"28",2020-09-01,"Misiones","25 de Mayo",1,2,"septiembre",2020,9
"29",2020-09-01,"Misiones","Cainguás",1,2,"septiembre",2020,9
"30",2020-09-01,"Misiones","Capital",1,2,"septiembre",2020,9
"31",2020-09-01,"Misiones","Leandro N. Alem",1,2,"septiembre",2020,9
"32",2020-09-01,"Misiones","Leandro N. Alem",1,2,"septiembre",2020,9
"33",2020-09-01,"Misiones","San Ignacio",1,2,"septiembre",2020,9
"34",2020-09-01,"Misiones","San Javier",1,2,"septiembre",2020,9
"35",2020-10-01,"Misiones","25 de Mayo",1,2,"octubre",2020,10
"36",2020-10-01,"Misiones","Apóstoles",1,2,"octubre",2020,10
"37",2020-10-01,"Misiones","Cainguás",1,2,"octubre",2020,10
"38",2020-10-01,"Misiones","Leandro N. Alem",1,2,"octubre",2020,10
"39",2020-10-01,"Misiones","San Ignacio",1,2,"octubre",2020,10
"40",2020-10-01,"Misiones","San Javier",1,2,"octubre",2020,10
"41",2020-11-01,"Misiones","25 de Mayo",1,2,"noviembre",2020,11
"42",2020-11-01,"Misiones","Apóstoles",1,2,"noviembre",2020,11
"43",2020-11-01,"Misiones","Cainguás",1,2,"noviembre",2020,11
"44",2020-11-01,"Misiones","Leandro N. Alem",1,2,"noviembre",2020,11
"45",2020-11-01,"Misiones","San Ignacio",1,2,"noviembre",2020,11
"46",2020-11-01,"Misiones","San Javier",1,2,"noviembre",2020,11
"47",2020-12-01,"Misiones","Apóstoles",1,2,"diciembre",2020,12
"48",2020-12-01,"Misiones","Leandro N. Alem",1,2,"diciembre",2020,12
"49",2020-12-01,"Misiones","San Ignacio",1,2,"diciembre",2020,12
"50",2020-12-01,"Misiones","San Javier",1,2,"diciembre",2020,12
"51",2021-01-01,"Misiones","Apóstoles",1,2,"enero",2021,1
"52",2021-01-01,"Misiones","Oberá",1,2,"enero",2021,1
"53",2021-01-01,"Misiones","San Ignacio",1,2,"enero",2021,1
"54",2021-02-01,"Misiones","Oberá",1,2,"febrero",2021,2
"55",2021-02-01,"Misiones","San Ignacio",1,2,"febrero",2021,2
"56",2021-03-01,"Misiones","Oberá",1,2,"marzo",2021,3
"57",2021-03-01,"Misiones","Oberá",1,2,"marzo",2021,3
"58",2021-03-01,"Misiones","San Ignacio",1,2,"marzo",2021,3
"59",2021-04-01,"Misiones","Capital",1,2,"abril",2021,4
"60",2021-04-01,"Misiones","Oberá",1,2,"abril",2021,4
"61",2021-04-01,"Misiones","Oberá",1,2,"abril",2021,4
"62",2021-05-01,"Misiones","Capital",1,2,"mayo",2021,5
"63",2021-05-01,"Misiones","Oberá",1,2,"mayo",2021,5
"64",2021-06-01,"Misiones","Oberá",1,2,"junio",2021,6
"65",2021-07-01,"Misiones","Oberá",1,2,"julio",2021,7
