"","FECHA_ADMINISTRACION","GRUPO_ETARIO","GENERO","VACUNA","TIPO_EFECTOR","DOSIS_1","DOSIS_2","ID_CARGA","DOSIS_3"
"1",2021-01-29,"31 a 40","M","Sputnik","Público",4,168,NA,0
"2",2021-01-29,"31 a 40","M","Sputnik","Público nacional",0,17,NA,0
"3",2021-01-29,"41 a 50","F","Sputnik","Privado",0,32,NA,0
"4",2021-01-29,"41 a 50","F","Sputnik","Público",15,251,NA,0
"5",2021-01-29,"41 a 50","F","Sputnik","Público nacional",0,9,NA,0
"6",2021-01-08,"41 a 50","F","Sputnik","Público nacional",14,0,NA,0
"7",2021-01-08,"41 a 50","M","Sputnik","Privado",18,0,NA,0
"8",2021-01-08,"41 a 50","M","Sputnik","Público",169,0,NA,0
"9",2021-01-08,"41 a 50","M","Sputnik","Público nacional",4,0,NA,0
"10",2021-01-08,"51 a 60","F","Sputnik","Privado",14,0,NA,0
"11",2021-01-08,"51 a 60","F","Sputnik","Público",182,0,NA,0
"12",2021-01-08,"51 a 60","F","Sputnik","Público nacional",8,0,NA,0
"13",2021-01-08,"51 a 60","M","Sputnik","Privado",16,0,NA,0
"14",2021-01-08,"51 a 60","M","Sputnik","Público",102,0,NA,0
"15",2021-01-08,"51 a 60","M","Sputnik","Público nacional",5,0,NA,0
"16",2021-01-08,"61 a 70","F","Sputnik","Público",3,0,NA,0
"17",2021-01-08,"61 a 70","M","Sputnik","Público",4,0,NA,0
"18",2021-01-08,"61 a 70","M","Sputnik","Público nacional",1,0,NA,0
"19",2021-01-09,"30 o menos","F","Sputnik","Privado",3,0,NA,0
"20",2021-01-09,"30 o menos","F","Sputnik","Público",24,0,NA,0
"21",2021-01-09,"30 o menos","F","Sputnik","Público nacional",13,0,NA,0
"22",2021-01-09,"30 o menos","M","Sputnik","Privado",1,0,NA,0
"23",2021-01-09,"30 o menos","M","Sputnik","Público",10,0,NA,0
"24",2021-01-09,"30 o menos","M","Sputnik","Público nacional",3,0,NA,0
"25",2021-01-09,"31 a 40","F","Sputnik","Privado",4,0,NA,0
"26",2021-01-09,"31 a 40","F","Sputnik","Público",81,0,NA,0
"27",2021-01-09,"31 a 40","F","Sputnik","Público nacional",17,0,NA,0
"28",2021-01-09,"31 a 40","M","Sputnik","Privado",9,0,NA,0
"29",2021-01-09,"31 a 40","M","Sputnik","Público",50,0,NA,0
"30",2021-01-09,"31 a 40","M","Sputnik","Público nacional",11,0,NA,0
"31",2021-02-14,"31 a 40","M","Sputnik","Público",0,1,NA,0
"32",2021-02-14,"41 a 50","F","Sputnik","Privado",1,7,NA,0
"33",2021-02-14,"41 a 50","F","Sputnik","Público",0,2,NA,0
